text,sentiment
"It`s 20:50 hs and i`m still at the office...really tired,wanna go home!",negative
Aly & AJ new album this summer. YAY!,positive
_day26 ~ Awwwww have fun with the fam boo boo,positive
@ lovelytrinkets I like the way you worded that about Rocky Road,positive
Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.,positive
Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.,negative
I have nothing witty to say,neutral
 me too.,neutral
Hi ho  hi ho it`s off to work we go,neutral
 Thanks for the hint.  http://tinyurl.com/chtx7e.,positive
" u welcome babe, kill the show! Yuuupp!",positive
" Hey, Candis.",neutral
 I was never a good stereotypical teen,negative
I love my Maitu. N she loves me. Happy mothers day mama!,positive
 i am so sorry,negative
i want to go to singapore but my mother seems not,neutral
JB on the front of factor x!!!!! wooh contest timeee,neutral
 so u aren`t going to be in Chicago,neutral
i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,positive
So tired.,negative
had a lovely breakfast with mum...yummy pancakes,positive
 Yay! have fun,positive
 Why thank you... Us Mami`s are bringin` sexy back...,positive
 lucky! that`s awesome,positive
"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",negative
"I am craving Burrito Boys - Large halibut, with everything on it, no jalepenos, 1 line hot sauce. Can anybody hook me up?",neutral
Oh is that time for real?,neutral
So now we`ll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,neutral
"I love  very much  I called him, but he was talking to other fans  I love you a lot Mitchel! I`ll see u in El Cajon. June 7",positive
I misses my bed  so sleepy!,negative
"Woo! Two days till awesome gig, one day till Uni is finished for 12 days  #gigs #3yp",positive
No TV and no internet make Catherine something something?,neutral
Anyone have some advice??? I need it!!,neutral
Just found mj mouse flats at DJs. Of course there are none left in my size,negative
I`m dreading hearing even worse news tonight,negative
"so now that I have a whole 20 followers, 5 of them actual people, I don`t know what to write in here anymore",neutral
haappy bank holiday  2 weeeeks. aah!,positive
  I thought  was against licensing stores bc it takes away from the experience they want to provide,neutral
_a_michael It doesn`t look like you`re tired in the pic.  Don`t work too hard.,neutral
so I slept in a little...well a lot. whooops,neutral
says my new layout is so cute x) see the cuties ? hahahah  http://plurk.com/p/suqp6,positive
" Good night, Rob. Sleep well. Safe travels tomorrow!",positive
 i know i suck.  my data plan is weak sauce.,negative
" Well I will be making beds, creating noise & cleaning cleaning all day long.  With music & a smile  x",neutral
"  Bit of New Scientist, this weeks an last weeks, and Watership Down",neutral
 dear oh dear.....,negative
my monday running so fast!,neutral
playing at my old school playground still the same except them lame **** got rid of the tire swing,negative
happy mommah`s day to your moms  http://plurk.com/p/stqya,positive
_Cal Work or...(hehe mind in the gutter)! I`m sittin here doin this student loan thing.,neutral
" Lol - I could have written that - would be good to have 2 Mondays this week, then I might catch up x",positive
 you`re surrounded by them! I have no official nieces/nephews yet,neutral
 Cant wait for DTE in Michigan this summer you guys are great look for me in the customized NKOTB Track Jacket,positive
 nope i have a fifth generation ipod classic  it likes to be dumb,negative
 meetings are overrated.,negative
 I love the smell of procrastination in the morning... oder so.,positive
 I considered being a nurse when I was younger but I really don`t think I could cope if a baby died,negative
 I know.  I am definitely going to try and see Up this weekend.,positive
 Nice!!!!!!!! I WILL be there,positive
Oh No!!!! I must be gettin old!!!! My mom use to watch this show....I miss her,negative
" lol that just totally made me laugh, which made my day",positive
tonight was fun,positive
 this creepy guy when I was walking the dog  I`ve had my fill of creepers for the day,neutral
Good morning!  Just took the longest shower ive ever taken in my life. Like 45 to 50 min shower!! Woah. lol,positive
is on facebook,neutral
I get to drive my dad to the airport so he can fly to Vegas for the WSOP... I wanna go to Vegas...,neutral
Franco made breakfast for Mom. Here he`s trying to cut the strawberries (only safe knife  #fb http://twitpic.com/4wsmw,neutral
" http://twitpic.com/4w9h2 better in person had to send u this, I feel like mouse from 'The American Tail' . Over in RI!",neutral
"Allergies  sun is out, wearing shorts.  Stuck with my advisory the whole day.... This should be boring. Except fun. If people make it fun?",negative
 Thank you! You should know that I am both happy and sad (all at the same time) to know that. You`ve got 'The Right Stuff',neutral
"_merchant I agree, but teenage daughter will be spending my money on the movie of their concert this week.",neutral
Someone out there will soon  be the lucky recipient of my 5000th Tweet. Oh wait. ****. THIS was it!,neutral
Good  morning! Just went to bed it feels and already morning...goes fast! Now i am going to the gym soon. Have a nice day!,positive
 one of our governors is one of the directors of the company,neutral
no internet for a week or longer,negative
Jesus Christ meadowhall could do with better air con! Too hot,negative
Is listening to P!nk tunage and trying to teach my cat to dance to it... I think she`s getting it we can be backing dancers by next tour,neutral
 I sure she can,positive
"Getting ready for work and the sun is shining, plus it`s the w/e! Bgt tonight..... what am I gonna do after it`s finished?!",neutral
"this aztec mask is harder then i thought! but u kno what, i think i did a pretty good job for not being an artist",neutral
"Listenin to some old school new found glory. Hedro, gimi a high school band i can down load. Besides home grown....",neutral
"Kelly Kelly pays your bills @ 12:15, Kaden pays em @ 5:15 and  just wants you to follow him. lol He dosent get to pay bills",neutral
 i want to gooo,positive
evryone come here http://www.blogtv.com/People/GinaNicole2 were spamming so much and blogtv is glitching and it might work,negative
Ready for tomorrow. My mommy will get her gift for Mother`s Day. Hope she LOVES it!,positive
Ugh fun concert  screen cracked on phone again because it fell... =\,negative
 if you take backstreet boya and put them in silk mc hammer pants with sgt peppers/beatles coats and lame music then you have SMAP,neutral
"So happy, my VStudio shortcuts are backkk",positive
 can`t wait to hear the evp! And cuuuute picture.,positive
Headed to verizon. Praying that pinkberry is going to make it.,positive
Awaiting reply from two projects. One cancelled.,negative
Coco still out,neutral
 Have You Watched You Belong With Me?   By My Lovely Sister ) Kiddin.,positive
 Hello again  How`d ur saturday go?,neutral
 why aren`t you showing up as a #spymaster in my screen?,neutral
"Well, Sacramento, I hope you appreciate Rivkah Sass & treat her well. I`ll be sitting here in Omaha, pouting",positive
Leaving the beach .. Having a great day with vicente .. We needed this time together,positive
"Got caught in the rain. Sand Monsoon all the way home, even though i looked like a complete idiot",negative
just left & already misses Nashville  be back sunday,negative
Going to bed after the CAVS game  Don`t judge me LOL,neutral
" you`re a busy Bob, I`m jealous. I`m not sure I can even afford to go meet John de Lancie and Leonard Nimoy",negative
I am living in a country where the government is ALWAYS a circus show ... sad but true...,negative
went twitter crazy! last nigh :p well thats what happens when u got nothin ta do at 2 o`clock in da mornin,neutral
 I want chocolate!,neutral
"http://twitpic.com/4ja8r - Tell me, how can you not love someone like this?",neutral
 yep  but I`m going better now,positive
Fun is being had.,positive
$#@! My nose stud fell out and I can`t find it  Looks like I`ll have to head into Amsterdam today and get a new one,negative
_by_spork we shall see,neutral
_other Excellent analogy,positive
Good morning tweeps. Busy this a.m. but not in a working way,positive
" lmao, im only joking mate",neutral
 FOLLOW ME BABY U SAID N DA CHAT U WILL  LUV YA GOODNITE,positive
"been busy at work, now must run before traffic is too bad.",neutral
got a rad new t-shirt from my aunt. Made from some cool shiny shiny pink material.,positive
 it was an awesome talk  find it very true that i am watching the ruby community closely,positive
#f1 in a few hours guess who is sleepin in the living room,neutral
 hahaha niene ur soo smart.! lmao i think that is who its by..  good lookin.. whts up gurlie?? i come home this weekend.!,positive
http://twitpic.com/664oz - this is what happens when i have no models,neutral
"I hereby announce that I am... employed! Couldn`t be happier, Alhamdulillah!",positive
"i juz registered my cp in twitter, but my tweets wont go thru? Argh..Hmm wanna follow my idols lyk  away from the PC..",negative
"Speaking,,,Speaking ...",neutral
Paid all my bills only to go out to the mailbox to find more of them,neutral
" I could, but that would require today not to be a duvet day. I imagine that my outfit for the Wendyhouse will be photo worthy",neutral
" Glad to hear you made it out, I hear that place used to be it`s own country  Looking forward to your arrival!",positive
"found a swing set for sale 2 blocks from home, super cheap. I want it 4 my kids but no one is answering the phone # listed",neutral
So many farewell parties! sad to see people leaving ..,negative
 - Still a pity it comes with no lamb though,negative
 I`ve got cups but you gotta come get them,neutral
"TAKE THAT, TAKE THAT!!!! IN YOUR FACES!!!!!!!!!!!!  Robbie won!",positive
 no other reason? I wonder if she loves you,positive
 happy birthday ness!!,positive
" Wow, I really hope it gets better. Asthma sucks",neutral
feels ..my cousin is a monkey  http://plurk.com/p/x23pa,negative
"charlie and the chocolate factory, in the mood for some johnny depp, then bed. Preparing for a 14 1/2 hour wok day tomorrow",neutral
 wasn`t the 'layers' just absolute positioned divs? Web compability killer,neutral
Don`t you hate it when you`re left with one slice of bread left in the bag? Half sandwich.,negative
Loves random acts of kindness and laughter,positive
"Gha, off to work - hopefully traffic has cleared up by the time I get there!!",positive
Just watched another episode of JONAS. Is it better than Hannah Montana? Very much true!,positive
Going to meet the new family I`m babysitting for... Wish I was still sleeeeping,positive
 Hi Heather. I dont know why... but I just saw your messages from April!! Have not been very twitter friendly...,negative
 I can`t belive you only have one episode to go  ****,neutral
 you can also watch Family Guy online. www.fancast.com  And yes I am a total shill.,neutral
 I know right  Poorpoor girl! It shows why they shouldn`t put young people in competitions like this though (.....) -,negative
NOT excited for 32 people reservation in the morning  **** LOVIN halo3 right now for sure too,neutral
" wowie wooie someone updated their twitter without me having to remind you. I`m not even mad,I`m impressed.  how was the lasagna ?",positive
Today is another good day for some less extreme experiences... Anyone a fan of #24? I`m watching season 4 now,positive
" i was going tonight, but you never wrote me back with the info  im sososo sad...",negative
 still not 100%    im sick of being sick!,negative
_collins I`m not sure I understand how this twitter thing works...,neutral
wat a stressful week i jus hope everything falls into place 4me,negative
with hubby at the dentist ready to hold his hand  and getting nervy about potentially buying a car tomorrow,negative
Aww I got to see my 1st grade teacher`s last day before she retired,positive
" For sure you should continue to Tweet WHILE on conf call, WHILE worrying about cat and bee.",negative
"LOL! Made a huge mess of my school shirt, was using charcoal sticks in 2D art",negative
 when will she b finished,neutral
BGT made me cry tonight,negative
"gawww, why is facebook being so slow?",negative
 im cool  cant wait to hear these stories xoxo,positive
Bird poo update... Managed to clean it all off but some slight stainage remains  any tips?,neutral
Also I was conviced to do a happy dance and then told it was the most adorable happy dance ever,positive
I day til NYC!!!! and the journey soon begins!!! Music baby,neutral
i feel in love with pizza girl... now i eat pizza everyday,positive
 11 30s way early! anyway nigth night  love you!,positive
" If i say PLEASE REPLY TO ME DOUGIE, will you do it? I double dare you",negative
 I`m not either. We should have went out *snicker* Although I am enjoying listening to RR and my beer,neutral
 Hey Esmee. How U doing?,neutral
" MUAHAHAHHAHAHA...   well, maybe they think I`m crazy or something. I haven`t scared  yet though",positive
" nope..not drunk..sometimes I think maybe I should..then maybe Twitter would make sense, ya know!",neutral
today got her POP! t-shirt & lovess ittt  haha x,positive
 EpiCentre Wheelock Place - tourists only..,neutral
"Perfect night. Best month of my life so far!! You my boo, ",positive
 yayy  you`ll can help me im doing my english homeworks which i had to do during the holidays >.<,positive
 hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha,positive
" Think you should do a tour in England, we dont got to see any aweomse people !!",negative
'Puke In My Mouth' the brilliant response to **** In My Pants  http://tinyurl.com/cy8z7y  Over the top wrong,neutral
"Good morning. haha I just read that the swine flu probably not come`s from pigs at all, but from people! Poor pigs who got all the blame!",neutral
Is bummed out...i don`t have even one testimonial on Flickr.,negative
 I am sorry that you are feeling that way.,negative
yeah so Prom Night is now the Craft (good movie),positive
"having the flu, not the swinish-one, but the flu.",neutral
 don`t go to logan square we`re pretty sure the shirt isn`t there  1 more philly local tmrw,negative
 You should see our floors before you make that offer.  Let me know if you don`t receive a call soon.,neutral
"    I am sending healthy, healing thoughts in the mumborg`s direction.",positive
"Not at prom. Ha! Chinese, iced chai, and some old school pokemon. Good night",positive
Prayers for my family and my dog - Mozart is being put down this afternoon.   Pics of him at http://tinyurl.com/mozartdog,neutral
"Went on a short flight around the Geelong waterfront.  Surprised at how well I handled it, as I`m still exhausted from last weeks meetup",positive
": I`ll keep y`all in my prayers but welcome back to TX  Hope you have a good,safe flight",positive
Good morning scary world!,negative
"is back at working auditing away, time to make the hard decisions and be happy",positive
 - ummmm. no comment. LOL. I actually have not watched GH in about a week.,positive
" i think u have more than enough friends now, including me lol",neutral
Zs.Nagy presents  http://www.nordugrid.org/manuals.html,neutral
_Layne  hmm.. what`s ur fav movie?? tv shows??,neutral
 <3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,positive
 Thankfully that face only shows up for photoshoots,positive
" Don`t worry, the bizarre will find you",positive
 Sorry - I have failed to grasp your meaning,negative
"_Walker21 sadly no, I`ll be going to the killumbus show. I really want to but no one wants to drive me there",neutral
" Morning Lou, I Have some housework to do then im off to Church",neutral
Extremely happy to see my new track 'The Awakening' featured on Indivibe   http://www.indivibe.com/vibe.php?city=1,positive
 hahaha n I`m a do the same for u,neutral
"I love my mom! Happy Mother`s Day, mommies",positive
Just Chilling after MCFLY last night! ABSOULUTELY INCREDIBLE! =D i love them!,positive
"God, why can`t I be at #asylum? Really. I never get to do anything cool!",negative
Just got in a fight and kicked out of the bar. At least I knocked him out. Have a fat lip though.  Pulled another number,neutral
"working on mothers day slideshow, cake, card, and balloons  she deserves the best!",positive
"Early bird gets the worm.  And in my case, birder gets to witness the carnage.",neutral
_eat_out,neutral
" Thanks, hope you have a good one",positive
" - You too, thanks for completing  Calvin Appreciated",positive
"Morning everyone sorry for going early last night had bad news, felt totally ****   Today is a new day",negative
"Wow, the new Google icons suck   http://bit.ly/z7JIE",neutral
 Hahah! That was the best! Thank god for Terry he was laughing so hard. I miss him   I remember racing trucks with him that ...,positive
 tell his people to contact my people,neutral
 KILL IT JASMINE! Haven`t talked to you for ages.,negative
got an awesome hair cut todayyyy  it looks so hottt haha doing homework,positive
"You`re never alone Just when you think no one cares, you realize that there` always one person you cares for you",neutral
 someone`s a sweet tooth  i was dying for somethin sweet so i`ve attacked the chock coated tiny teddies all i could find lol,positive
my apple-mouse doesn`t work on my shiny red coffee table...,negative
" (2) in commentary  , I was with her, was sad, very sad",negative
Yet another good weekend with someone. Sigh. Man I like the boy..,positive
"about to head to the Strand, goodnight",positive
 every day of my life lately.    i feel ya girl <3,neutral
 hiya! been looking for you1,positive
" Aw, that stinks, I`m sorry.",negative
Is trying to recover from a broken heart....yet again for the 2nd or 3rd time,neutral
" ach, probably not... they are labeled as MI-5, which I believe was the name used when they aired on BBC America",neutral
 Ha! Did she find out? The only thing Google came up with was some database acronym and 'dibbs' on the front seat aka shotgun,neutral
_witty  yes france/belgium was good  carnt belive how much traffic we hit on the way back,neutral
My comp is being slo w,negative
 you didnt send me the text,neutral
 oh mannn i`m gonna be there tomorroww,neutral
: unfortunately not.  I have to take it to a repair shop or replace it.,negative
 : Come to VietNam to make a live Show Miley. there are so much fans love you at Viet Nam,positive
" 'You guys could have fun in a cardboard box'.. I miss you already, bro.",negative
A little twitter mention on SNL,neutral
Josie`s out of surgery. She`s now officially unable to procreate. And She`s way out of it... Poor medicated baby,negative
I signed up for an account on a political website so I could post a comment but it isn`t working.,negative
_NigerianBoi thanks JT i also enjoyed it i will. r u following me? ill follow u back,positive
Me and mum are lost in grangemouth. Utter hilarity! Totally lost,neutral
 sorry 19/female/atl very lonely,negative
"Feeling awful, new medication is making me nauseous",negative
 inooo arent they just  i wanna just go down there now an meet kyle again.. im too obsessed its not fair!,negative
I need a bear hug  and Im going to camp today!!,neutral
" If I could, I`d send California sunshine your way.",positive
I need a present for my mom.  Could anybody help me ?!,positive
" I am in Weirton Julie, way up North at the tippy top! LOL we don`t think southern WV folks like us too much.",negative
learning how to use twitter,neutral
bad mood and i dont feel good. too bad no one cares,negative
" I love you so much.  Just got into my hiding spot, gonna go check out datalounge",positive
 - Try this one  ,neutral
"  youre diabetic?   so is my dad.  & i might be too, not sure.  are you still allowed to eat sugar throughout the day?",negative
I just really want to sleep butmy eyes won`t let me,negative
 You should check yourz Rayne.,neutral
"_66 I haven`t had slip-ons in years, since my checkered days. Matter of fact I only have my torn up all black classics.",neutral
" Ian and I are going to a matinee tomorrow, or that`s the plan at least...it`s going to be too expensive for 3d at night",negative
He will be here in less than hour,neutral
" I know, but work is so boring. I prefer the  take on life",negative
 Gmorning Hermana! Thank you for your testimonial it is wonderful. Posted already.,positive
 ha. nothing any man does is right on mothers day except for taking kids off mum`s hands for whole day,neutral
"AHHH - Whatchu talkinÃ¯Â¿Â½ baby?  HAHAHA I canÃ¯Â¿Â½t believe youu:O heh, actually I can. Life is worth taking risks... http://tumblr.com/xs81qy54s",positive
 Our raid leader made us run drills to practice switching,neutral
" And Clang rocks, so you`re using it, right?  Anyways, according to the comments it`s in apple`s gcc too, dunno how public tho",neutral
"Unlike cierra, i look like poop today. Whatevahh, lol.",neutral
Off to enjoy a Hanami picnic at the cherry tree park. Hope the weather stays nice.,positive
The comp deleted half my apps,negative
"In Whin Park on the swings, victory is all mine right now",positive
Well it would seem that you can enter nine 0s if you are an Individual without a SSN/ITIN or EIN according to Apple.  Hurray!,positive
 because its like ten times better than this place xD and its so beautiful and fun  and they have gold coast hot dogs!! xD,positive
Whole body is sore from moving hundreds of pieces of luggage last weekend.   Guess I should visit the gym more often,neutral
 oh you are too kind,positive
" yeah, so quick! And I`m using the 5mm addi`s I bought on Sat and it makes it even smoother",positive
 I don`t even look at their fabric unless I need polar fleece.   It`s worth the extra $ to go to Needle and Thread.,neutral
Pleeaaasee come out sun,neutral
"  ummm...last night when I DM`d you, you said it was a 'good' question.",positive
" man, I am really sorry",negative
watching the jobros live chat .. not live though  haha.,neutral
wow.. tomorrow and then it`s over. i`ll never see some of those people again. it`s kind of sad.,negative
NCAA Baseball Road 2 Omaha: South Carolina just hit a 3-run homerun. Dagger 2 my heart.    Mason 1 - South Carolina 3..,negative
" I send messages to greg all the time, no answer  its ok I still love o & a, goog luck with your move to Erie.",positive
 the honesty`s to much...........  Sorry couldn`t resist;),neutral
oh ok i always wondered how that worked. i only have the top of my ear done. i dont think i could get anything else pierced,neutral
noooooooo...another headache...hopefully not a migraine,neutral
10.11PM~ todays a drag for me. so bored. im about to get into the romance book so i prob wont be on til the morn  night twitter babes ;),negative
"twitter fam, i`m about to hop back on AIM i went ghost on y`all lolz sowwy",negative
 i make them good girls go bad,negative
Sites that republish my blog`s feed often end up higher than my blog on Google search results,negative
Going to have dinner. bbs,neutral
 we can all but hope... georgia is still wide awake and has the hiccups,neutral
no phone  i knew i should`ve charged it last night. SIGH,neutral
 quite,neutral
oh yes! Level 40,positive
my baby`s off on his adventure. 14.5 hours in the car up to Lake Ann Mi. I admit it. I cried a little when the truck pulled out...,negative
 http://twitpic.com/4uyn9 - I NEED THIS. RIGHT NOW. THIS IS ABSOLUTELY MINDDDD BLOWING  I love this. So much!,positive
frustrated by my stupid iPhone I need a blackberry!!!!,negative
Woo - got a fast mobile broadband connection now,neutral
 But I really want a Sporebat pet.,neutral
I`m still at the mothers day lunch at my uncles house. Having a nice time!,positive
 Oh! I ate pizza last night too!  I stupidly feel closer to you somehow!,positive
" Oh right,sorry,now i get ya,But still 3000 email`s,wow,cool",negative
? I had great time in Boston. Thanks to my baby girl.   http://plurk.com/p/rplmy,positive
 my bad homie,negative
  i'm awake whats for breakfast lulu **** on a shingle ha ha ha,neutral
Good morning everyone,positive
" love this one, especially the shoes  anyway, gmn punya acc lookbook ya? http://lookbook.nu/look/92920",positive
shake shake shake shake shake it,neutral
Raining again,neutral
good morning world,positive
i hope that everyone has been having a great week.  let me know if you think im crazy for hating coffee XD.,neutral
back to br,neutral
Time to put the weapons on the charger for the night.  Sleep tight,neutral
Using tiffys computer...it feels different from mine... the touch is different.,neutral
And ... Happy Mother`s Day to all Moms   You sure are the ? heart of mankind.,positive
 Are they both still talking to you then?,neutral
I want Crimson Gem Saga.  I will just go play RF Guerilla demo repeatedly. I (Mission Failed - YOU DIED) so many times from dicking around,neutral
 lol that was a great movie,positive
will b having my last V tomorow   will have2live off of apples n not caffeine ;( n have2cut down on chocolate bye bye chocy,neutral
I was awoken by loud banging and it continues all day  Good thing I got an early rest last night!,neutral
 Let`s go!,neutral
feels really sick.,negative
Hecks yeah. Jandy timsamlake is too rawesome!,positive
**** internet jus cut me off!  was bout 2 shoot sum guys eye out  ~*~KANDI~*~,negative
 u don`t have school today????,neutral
Not only has it broken but it`s Monday!!Does this mean Monday can be fix`d?  ? http://blip.fm/~5jgio,negative
People at work are stressing me out.,negative
 rt i have had few hearts the past few days on etsy  boo hoo....totally the same for me too ((((((,neutral
love it when my sister brags! but she`s too tired too spell bowling right! haha its ok I <3 her!!,neutral
never trust someone else`s battery operated power tools when you`re in a hurry,positive
 Lol Your tweets are so funny! I met you in Calgary! You`re awesome  Can`t wait for the next HP movie!,positive
is off to work ... still 'recovering' from an amazing and beautiful weekend. Have I mentioned how incredible my friends are??,positive
 so`s the smell of cigarettes and alcohol... at least *i * like it.,positive
All done. No more internship.,neutral
RIP to officer Edwards. May GOD continue to bless his family. What`s up wit cops killing cops. Seen the same thing happen on 'The WIRE'.,neutral
"Invasion of the Old Ladies has just ended, still have to clean up not going to be able to make it to the tweetup tonight.",neutral
`s current goal is to lose 10 pounds by next tuesday! 120 here i come   soooo ready for Gatlinburg!,positive
my best friends bought something which i really want.,positive
" It depends on your goals & how much you want to spend  Cannondale, Specialized and Cervelo are all good brands.",positive
On the phone to mum  http://tinyurl.com/otdn9u,neutral
 me tooo,neutral
My net died so yeah....  I`m sad now,negative
 then am anticipating the next ten days!,neutral
i dont know why i follow sme of the ppl that i do... they e anoying and boring. * note to self -unfollow peeps on monday morning,negative
